Composer,Title,License,Source,Modified
Beethoven,Sonata Op. 110 Movement I,CC BY 4.0,ATEPP-1.1,Y
Beethoven,Sonata Op. 31 No. 3 (The Hunt) Movement I,CC BY 4.0,ATEPP-1.1,Y
J. S. Bach,"Fugue in C Major, BWV 846",CC BY 4.0,ATEPP-1.1,Y
Mozart,Sonata No. 18 Movement II,CC BY 4.0,ATEPP-1.1,Y
Rachmaninov,"Etude-Tableau, Op. 39 No. 6",CC BY 4.0,ATEPP-1.1,Y
Schubert,Impromptu Op. 90 No. 1,CC BY 4.0,ATEPP-1.1,Y
Schubert,Impromptu Op. 90 No. 3,CC BY 4.0,ATEPP-1.1,Y
